year,brand,model,location,price,mileage,body_type,exterior_colour,interior_colour,door,passenger,transmission,drive_type,displacement,cylinder,fuel
2016,Toyota,Corolla,Aurora,"$13,888","42,098",Sedan,-,-,4,5,Automatic,FWD,1.8L,4,Gasoline
2017,Dodge,Grand,Aurora,"$17,885","57,100",-,-,-,-,-,Automatic,-,#NAME?,-,-
2017,Toyota,Camry,Aurora,"$22,888","95,532",Sedan,White,Gray,4,5,Automatic,FWD,2.5L,4,Gasoline
2016,Toyota,Camry,Aurora,"$19,888","48,315",Sedan,White,Black,4,5,Automatic,FWD,2.5L,4,Gasoline
2009,Dodge,Grand,Aurora,"$5,395","179,686",-,-,Gray,5,7,Automatic,FWD,#NAME?,-,Gasoline
2020,Hyundai,Elantra,Aurora,"$17,988","11,719",Sedan,White,Black,4,5,Automatic,FWD,2.0L,4,Gasoline
2015,Dodge,Durango,Aurora,"$24,988","88,392",SUV,White,Black,5,7,Automatic,AWD,3.6L,6,Gasoline
2010,Dodge,Grand,Aurora,"$6,885","150,255",-,Black,Black,4,7,Automatic,FWD,#NAME?,-,Gasoline
2010,Toyota,Corolla,Aurora,"$5,885","135,100",Sedan,-,Black,4,5,Manual,FWD,#NAME?,-,Gasoline
2018,Acura,ILX,Aurora,"$25,988","13,054",Sedan,White,Black,4,5,Automatic,FWD,2.4L,4,Gasoline
2016,Toyota,Highlander,Aurora,"$29,888","139,748",SUV,White,Tan,4,7,Automatic,AWD,3.5L,6,Gasoline
2013,Jeep,Wrangler,Aurora,"$25,995","143,100",SUV,-,-,-,-,Manual,-,#NAME?,-,-
2018,Acura,RDX,Aurora,"$32,777","39,327",SUV,Black,Tan,4,5,Automatic,AWD,3.5L,6,Gasoline
2014,Nissan,Sentra,Aurora,"$6,495","113,450",Sedan,Red,Black,4,5,Automatic,FWD,#NAME?,-,Gasoline
2018,Hyundai,Tucson,Aurora,"$21,999","29,859",SUV,Gray,Black,4,5,Automatic,FWD,2.0L,4,Gasoline
2017,Acura,MDX,Aurora,"$37,888","40,258",SUV,Gray,Gray,4,7,Automatic,AWD,3.5L,6,Gasoline
2015,Honda,Civic,Aurora,"$11,988","81,927",Sedan,-,Gray,4,5,-,FWD,#NAME?,-,Gasoline
2019,Ram,ProMaster,Aurora,"$35,985","13,000",-,-,-,3,-,Automatic,FWD,#NAME?,-,Gasoline
2019,Ram,ProMaster,Aurora,"$35,985","13,000",-,-,-,-,-,-,-,#NAME?,-,-
2010,Dodge,Grand,Aurora,"$6,995","117,640",-,Blue,Gray,4,7,Automatic,FWD,#NAME?,-,Flex
2015,Toyota,Corolla,Aurora,"$13,500","29,201",Sedan,Blue,Black,4,5,Automatic,FWD,1.8L,4,Gasoline
2016,Toyota,Highlander,Aurora,"$29,388","60,072",SUV,White,Tan,4,7,Automatic,AWD,3.5L,6,Gasoline
2016,Subaru,XV,Aurora,"$15,495","102,150",SUV,Green,-,4,5,-,AWD,#NAME?,-,Gasoline
2011,Kia,Forte,Aurora,"$7,495","141,085",Coupe,Red,Black,2,5,Automatic,FWD,2.4L,4,Gasoline
2016,Hyundai,Sonata,Aurora,"$18,888","59,966",Sedan,Gray,Black,4,5,Automatic,FWD,2.4L,4,Gasoline
2019,GMC,Savana,Aurora,"$36,985","12,108",-,-,-,2,-,Automatic,RWD,#NAME?,-,Gasoline
2019,GMC,Savana,Aurora,"$36,995","13,000",-,-,-,2,-,Automatic,RWD,#NAME?,-,Gasoline
2015,Jeep,Grand,Aurora,"$19,988","149,500",SUV,Black,Black,4,5,Automatic,4x4,3.6L,6,Gasoline
2013,Lexus,RX,Aurora,"$19,500","155,380",SUV,Black,Black,4,5,Automatic,AWD,3.5L,6,Gasoline
2016,Toyota,Camry,Aurora,"$17,887","81,813",Sedan,Silver,Black,4,5,Automatic,FWD,2.5L,4,Gasoline
2016,Toyota,Camry,Aurora,"$17,645","84,641",Sedan,Red,Black,4,5,Automatic,FWD,2.5L,4,Gasoline
2010,Toyota,Corolla,Aurora,"$7,500","137,539",Sedan,Gray,Gray,4,5,Automatic,FWD,1.8L,4,Gasoline
2017,Acura,ILX,Aurora,"$22,988","18,347",Sedan,White,Black,4,5,Automatic,FWD,2.4L,4,Gasoline
2017,Subaru,WRX,Aurora,"$31,995","38,100",Sedan,-,Black,4,5,-,AWD,#NAME?,-,Gasoline
2019,Chevrolet,Express,Aurora,"$26,985","18,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2019,Chevrolet,Express,Aurora,"$26,985","18,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2014,Mercedes-Benz,CLA-Class,Aurora,"$17,900","83,700",Sedan,White,Black,4,5,Automatic,FWD,2.0L,4,Gasoline
2012,Toyota,RAV4,Aurora,"$7,995","233,800",SUV,Brown,Black,4,5,Automatic,AWD,#NAME?,-,Gasoline
2018,Hyundai,Tucson,Aurora,"$20,898","34,633",SUV,Silver,Black,4,5,Automatic,AWD,2.0L,4,Gasoline
2015,Mercedes-Benz,GLK-Class,Aurora,"$16,000","193,143",SUV,Black,Black,4,5,Automatic,AWD,2.2L,4,Diesel
2017,Hyundai,Santa,Aurora,"$23,988","90,632",SUV,White,Tan,4,7,Automatic,AWD,3.3L,6,Gasoline
2017,Toyota,RAV4,Aurora,"$26,688","62,541",SUV,Black,Tan,4,5,Automatic,AWD,2.5L,4,Gasoline
2016,Toyota,RAV4,Aurora,"$18,588","63,529",SUV,Red,Black,4,5,Automatic,FWD,2.5L,4,Gasoline
2016,Toyota,Corolla,Aurora,"$13,688","71,870",Sedan,White,Black,4,5,Automatic,FWD,1.8L,4,Gasoline
2019,Acura,RDX,Aurora,"$38,988","58,751",SUV,White,Black,4,5,Automatic,AWD,2.0L,4,Gasoline
2017,Acura,RDX,Aurora,"$29,988","55,899",SUV,Gray,Black,4,5,Automatic,AWD,3.5L,6,Gasoline
2013,Chrysler,Town,Aurora,"$15,995","72,100",-,White,Brown,4,7,Automatic,FWD,#NAME?,-,Gasoline
2017,Dodge,Caravan,Aurora,"$16,995","52,300",-,-,-,4,7,Automatic,FWD,#NAME?,-,Gasoline
2020,GMC,Savana,Aurora,"$32,985","3,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2020,GMC,Savana,Aurora,"$32,995","2,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2014,Ram,Cargo,Aurora,"$8,985","178,000",-,-,-,-,-,-,-,#NAME?,-,Gasoline
2014,Dodge,Ram,Aurora,"$8,985","178,000",-,-,-,-,-,-,-,#NAME?,-,-
2015,Hyundai,Genesis,Aurora,"$18,888","79,870",Coupe,White,Brown,2,4,Automatic,RWD,3.8L,6,Gasoline
2016,Acura,TLX,Aurora,"$19,988","53,076",Sedan,Blue,Black,4,5,Automatic,FWD,2.4L,4,Gasoline
2015,Dodge,Journey,Aurora,"$11,949",,SUV,-,-,4,7,Automatic,AWD,3.6L,6,Gasoline
2014,Dodge,Grand,Aurora,"$11,949",,Van,-,-,4,4,Automatic,FWD,3.6L,6,Flex
2014,Nissan,Sentra,Aurora,"$5,950","153,000",Sedan,-,-,4,5,Manual,FWD,1.8L,4,Gasoline
2017,Dodge,Grand,Aurora,"$12,995","103,210",-,-,Black,4,7,Automatic,FWD,#NAME?,-,Gasoline
