year,price,mileage,door,passenger,displacement,cylinder,body_type_num,location_index,exterior_color(i),interior_color(i),transmission(i),drive_type(i),fuel_index,brand_i,country_i,real_year,vehicle_id
2016,13888,42098,4,5,1.8,4,1.0,0,0,0,0,0,0,0,0,3.75,1
2017,22888,95532,4,5,2.5,4,1.0,0,1,1,0,0,0,0,0,5.48,2
2016,19888,48315,4,5,2.5,4,1.0,0,1,0,0,0,0,0,0,4.01,3
2020,17988,11719,4,5,2.0,4,1.0,0,1,0,0,0,0,2,1,0.49,4
2015,24988,88392,5,7,3.6,6,2.0,0,1,0,0,2,0,1,2,6.18,5
2010,5885,135100,4,5,0.0,4,1.0,0,0,0,1,0,0,0,0,10.63,6
2018,25988,13054,4,5,2.4,4,1.0,0,1,0,0,0,0,3,0,1.54,7
2016,29888,139748,4,7,3.5,6,2.0,0,1,2,0,2,0,0,0,7.82,8
2013,25995,143100,4,5,0.0,4,2.0,0,0,0,1,1,0,4,2,9.46,9
2018,32777,39327,4,5,3.5,6,2.0,0,2,2,0,2,0,3,0,2.64,10
2014,6495,113450,4,5,0.0,4,1.0,0,3,0,0,0,0,5,0,7.73,11
2018,21999,29859,4,5,2.0,4,2.0,0,4,0,0,0,0,2,1,2.24,12
2017,37888,40258,4,7,3.5,6,2.0,0,4,1,0,2,0,3,0,3.18,13
2015,11988,81927,4,5,0.0,4,1.0,0,0,1,0,0,0,6,0,5.91,14
2015,13500,29201,4,5,1.8,4,1.0,0,5,0,0,0,0,0,0,3.72,15
2016,29388,60072,4,7,3.5,6,2.0,0,1,2,0,2,0,0,0,4.5,16
2016,15495,102150,4,5,0.0,4,2.0,0,6,0,0,2,0,8,0,6.26,17
2011,7495,141085,2,5,2.4,4,3.0,0,3,0,0,0,0,9,1,10.38,18
2016,18888,59966,4,5,2.4,4,1.0,0,4,0,0,0,0,2,1,4.5,19
2015,19988,149500,4,5,3.6,6,2.0,0,2,0,0,4,0,4,2,8.73,20
2013,19500,155380,4,5,3.5,6,2.0,0,2,0,0,2,0,11,0,9.97,21
2016,17887,81813,4,5,2.5,4,1.0,0,7,0,0,0,0,0,0,5.41,22
2016,17645,84641,4,5,2.5,4,1.0,0,3,0,0,0,0,0,0,5.53,23
2010,7500,137539,4,5,1.8,4,1.0,0,4,1,0,0,0,0,0,10.73,24
2017,22988,18347,4,5,2.4,4,1.0,0,1,0,0,0,0,3,0,2.26,25
2017,31995,38100,4,5,0.0,4,1.0,0,0,0,0,2,0,8,0,3.09,26
2014,17900,83700,4,5,2.0,4,1.0,0,1,0,0,0,0,13,3,6.49,27
2012,7995,233800,4,5,0.0,4,2.0,0,8,0,0,2,0,0,0,13.74,28
2018,20898,34633,4,5,2.0,4,2.0,0,7,0,0,2,0,2,1,2.44,29
2015,16000,193143,4,5,2.2,4,2.0,0,2,0,0,2,2,13,3,10.55,30
2017,23988,90632,4,7,3.3,6,2.0,0,1,2,0,2,0,2,1,5.28,31
2017,26688,62541,4,5,2.5,4,2.0,0,2,2,0,2,0,0,0,4.11,32
2016,18588,63529,4,5,2.5,4,2.0,0,3,0,0,0,0,0,0,4.65,33
2016,13688,71870,4,5,1.8,4,1.0,0,1,0,0,0,0,0,0,4.99,34
2019,38988,58751,4,5,2.0,4,2.0,0,1,0,0,2,0,3,0,2.95,35
2017,29988,55899,4,5,3.5,6,2.0,0,4,0,0,2,0,3,0,3.83,36
2015,18888,79870,2,4,3.8,6,3.0,0,1,3,0,3,0,2,1,5.83,37
2016,19988,53076,4,5,2.4,4,1.0,0,5,0,0,0,0,3,0,4.21,38
2014,5950,153000,4,5,1.8,4,1.0,0,0,0,1,0,0,5,0,9.38,39
2017,12288,74293,4,5,1.4,4,1.0,0,2,0,1,0,0,12,2,4.6,40
2016,20988,64252,4,5,2.5,4,2.0,0,4,0,0,2,0,15,0,4.68,41
2019,22500,47897,4,5,3.6,6,1.0,0,1,0,0,3,0,1,2,2.5,42
2019,23888,44453,4,5,3.6,6,1.0,0,1,0,0,3,0,1,2,2.35,43
