year,brand,model,location,price,mileage,body_type,exterior_colour,interior_colour,door,passenger,transmission,drive_type,displacement,cylinder,fuel,country,vehicle_id
2016,Toyota,Corolla,Aurora,13888,42098,Sedan,White/Black,Black,4,5,Automatic,FWD,1.8,4,Gasoline,Japan,1
2017,Toyota,Camry,Aurora,22888,95532,Sedan,White,Gray,4,5,Automatic,FWD,2.5,4,Gasoline,Japan,2
2016,Toyota,Camry,Aurora,19888,48315,Sedan,White,Black,4,5,Automatic,FWD,2.5,4,Gasoline,Japan,3
2020,Hyundai,Elantra,Aurora,17988,11719,Sedan,White,Black,4,5,Automatic,FWD,2.0,4,Gasoline,Korea,4
2015,Dodge,Durango,Aurora,24988,88392,SUV,White,Black,5,7,Automatic,AWD,3.6,6,Gasoline,USA,5
2010,Toyota,Corolla,Aurora,5885,135100,Sedan,White/Black,Black,4,5,Manual,FWD,0.0,4,Gasoline,Japan,6
2018,Acura,ILX,Aurora,25988,13054,Sedan,White,Black,4,5,Automatic,FWD,2.4,4,Gasoline,Japan,7
2016,Toyota,Highlander,Aurora,29888,139748,SUV,White,Tan,4,7,Automatic,AWD,3.5,6,Gasoline,Japan,8
2013,Jeep,Wrangler,Aurora,25995,143100,SUV,White/Black,Black,4,5,Manual,F4A,0.0,4,Gasoline,USA,9
2018,Acura,RDX,Aurora,32777,39327,SUV,Black,Tan,4,5,Automatic,AWD,3.5,6,Gasoline,Japan,10
2014,Nissan,Sentra,Aurora,6495,113450,Sedan,Red,Black,4,5,Automatic,FWD,0.0,4,Gasoline,Japan,11
2018,Hyundai,Tucson,Aurora,21999,29859,SUV,Gray,Black,4,5,Automatic,FWD,2.0,4,Gasoline,Korea,12
2017,Acura,MDX,Aurora,37888,40258,SUV,Gray,Gray,4,7,Automatic,AWD,3.5,6,Gasoline,Japan,13
2015,Honda,Civic,Aurora,11988,81927,Sedan,White/Black,Gray,4,5,Automatic,FWD,0.0,4,Gasoline,Japan,14
2015,Toyota,Corolla,Aurora,13500,29201,Sedan,Blue,Black,4,5,Automatic,FWD,1.8,4,Gasoline,Japan,15
2016,Toyota,Highlander,Aurora,29388,60072,SUV,White,Tan,4,7,Automatic,AWD,3.5,6,Gasoline,Japan,16
2016,Subaru,XV,Aurora,15495,102150,SUV,Green,Black,4,5,Automatic,AWD,0.0,4,Gasoline,Japan,17
2011,Kia,Forte,Aurora,7495,141085,Coupe,Red,Black,2,5,Automatic,FWD,2.4,4,Gasoline,Korea,18
2016,Hyundai,Sonata,Aurora,18888,59966,Sedan,Gray,Black,4,5,Automatic,FWD,2.4,4,Gasoline,Korea,19
2015,Jeep,Grand,Aurora,19988,149500,SUV,Black,Black,4,5,Automatic,4x4,3.6,6,Gasoline,USA,20
2013,Lexus,RX,Aurora,19500,155380,SUV,Black,Black,4,5,Automatic,AWD,3.5,6,Gasoline,Japan,21
2016,Toyota,Camry,Aurora,17887,81813,Sedan,Silver,Black,4,5,Automatic,FWD,2.5,4,Gasoline,Japan,22
2016,Toyota,Camry,Aurora,17645,84641,Sedan,Red,Black,4,5,Automatic,FWD,2.5,4,Gasoline,Japan,23
2010,Toyota,Corolla,Aurora,7500,137539,Sedan,Gray,Gray,4,5,Automatic,FWD,1.8,4,Gasoline,Japan,24
2017,Acura,ILX,Aurora,22988,18347,Sedan,White,Black,4,5,Automatic,FWD,2.4,4,Gasoline,Japan,25
2017,Subaru,WRX,Aurora,31995,38100,Sedan,White/Black,Black,4,5,Automatic,AWD,0.0,4,Gasoline,Japan,26
2014,Mercedes-Benz,CLA-Class,Aurora,17900,83700,Sedan,White,Black,4,5,Automatic,FWD,2.0,4,Gasoline,Germany,27
2012,Toyota,RAV4,Aurora,7995,233800,SUV,Brown,Black,4,5,Automatic,AWD,0.0,4,Gasoline,Japan,28
2018,Hyundai,Tucson,Aurora,20898,34633,SUV,Silver,Black,4,5,Automatic,AWD,2.0,4,Gasoline,Korea,29
2015,Mercedes-Benz,GLK-Class,Aurora,16000,193143,SUV,Black,Black,4,5,Automatic,AWD,2.2,4,Diesel,Germany,30
2017,Hyundai,Santa,Aurora,23988,90632,SUV,White,Tan,4,7,Automatic,AWD,3.3,6,Gasoline,Korea,31
2017,Toyota,RAV4,Aurora,26688,62541,SUV,Black,Tan,4,5,Automatic,AWD,2.5,4,Gasoline,Japan,32
2016,Toyota,RAV4,Aurora,18588,63529,SUV,Red,Black,4,5,Automatic,FWD,2.5,4,Gasoline,Japan,33
